Hrate,BR,Posture,Activity,PeakAccel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,ROG,SCL,HSS,HR,COH
78,23.3,11,0.02,0.08,52,65535,255,0.0011,0.0004,88,28,23,1099.3,856,73.233,73
79,23.3,11,0.02,0.03,49,65535,255,0.0011,0.0003,83,28,24,1096,881.33,75.3,73
80,23.4,11,0.01,0.04,49,65535,255,0.00104,0.0004,76,28,25,1092.3,970.33,74.933,73
80,23.4,11,0.01,0.03,48,65535,255,0.00104,0.00038,72,28,26,1149.7,1039.3,76.133,73
80,23.4,11,0.01,0.03,45,65535,255,0.00104,0.00032,69,28,27,1216.3,1277,77.5,73
80,23.4,12,0.01,0.03,43,65535,255,0.00104,0.00026,68,28,28,1176.3,901.67,77.133,73
79,23.2,12,0.01,0.03,40,65535,255,0.00104,0.00024,70,28,29,1143,925.67,77.2,73
79,23.2,13,0.01,0.04,38,65535,255,0.00104,0.00038,66,28,30,1161.7,894.67,75.733,73
79,23.3,13,0.01,0.04,39,65535,255,0.001,0.00042,62,28,31,1184.7,1056.3,74.867,73
79,23.3,13,0.02,0.06,37,65535,255,0.001,0.0004,57,28,32,1154,1136.7,75.067,73
78,23.3,12,0.01,0.04,36,65535,255,0.00136,0.00028,59,28,33,1143,817.67,74.9,76.333
78,23.3,12,0.01,0.04,38,65535,255,0.00136,0.00022,65,28,34,1135.7,882,77.033,83
78,23.1,12,0.01,0.02,36,65535,255,0.00132,0.00024,69,28,35,1133.7,1069.3,77.1,83
77,23.1,12,0.01,0.03,36,65535,255,0.00132,0.00024,73,28,36,1134,1086,78.7,83
76,22.9,12,0.01,0.02,35,65535,255,0.00114,0.00022,76,28,37,1137.7,1051,79.233,83
76,22.9,12,0.01,0.04,34,65535,255,0.00114,0.00022,78,28,38,1132,933.67,77.8,83
75,23,12,0.01,0.03,35,65535,255,0.00114,0.00018,81,28,39,1129.7,901.33,79.333,87
75,23,12,0.01,0.03,34,65535,255,0.00114,0.00024,83,28,40,1134.7,804.33,77.5,89
74,23.4,13,0.01,0.03,34,65535,255,0.00112,0.00018,86,28,41,1155.3,849.67,76.1,89
74,23.4,12,0.01,0.03,32,65535,255,0.00112,0.0002,86,28,42,1149.7,976.67,82.067,85
73,23.2,12,0.01,0.04,31,65535,255,0.00116,0.0002,88,28,43,1166.3,828.67,87,85
73,23.2,12,0.01,0.02,30,65535,255,0.00116,0.00016,89,28,44,1230,807.33,87.467,85
73,23,12,0.01,0.03,32,65535,255,0.00114,0.00014,91,28,45,1244,994.67,93.267,85
74,23,12,0.01,0.03,31,65535,255,0.00114,0.00018,92,28,46,1318,951.67,31.933,27.667
73,22.8,12,0.02,0.03,30,65535,255,0.00118,0.00016,93,28,47,1346,914.33,0,-1
74,22.8,11,0.01,0.04,35,65535,255,0.00118,0.00014,94,28,48,1326.7,930.67,0,-1
75,22.9,11,0.01,0.06,34,65535,255,0.0012,0.00024,95,28,49,1299.7,971,0,-1
75,22.9,11,0.01,0.03,35,65535,255,0.0012,0.00018,95,28,50,1340.7,973.67,0,-1
75,22.7,12,0.01,0.04,36,65535,255,0.00116,0.00016,96,28,51,1406,1022,0,-1
76,22.7,12,0.01,0.03,35,65535,255,0.00116,0.00016,96,28,52,1478.3,1009.7,0,-1
76,22.5,12,0.01,0.02,34,65535,255,0.00124,0.0002,97,28,53,1470.3,935.33,0,-1
76,22.5,12,0.01,0.02,36,65535,255,0.00124,0.00016,97,28,54,1397,962,25.767,19.333
76,22.7,12,0.01,0.03,34,65535,255,0.00122,0.00014,98,28,55,1427,938.67,75.767,60
76,22.7,12,0.01,0.03,34,65535,255,0.00122,0.00012,98,28,56,1371.7,960.33,73.6,60
74,22.5,12,0.01,0.02,34,65535,255,0.00112,0.00012,98,28,57,1339.3,959.33,71.333,60
74,22.5,12,0.01,0.03,32,65535,255,0.00112,0.00012,98,28,58,1334.7,958.33,71,60
73,22.4,12,0.01,0.03,32,65535,255,0.00114,0.00018,99,28,59,1335.7,1026.7,73.533,48
72,22.4,12,0.01,0.03,35,65535,255,0.00114,0.00024,99,28,60,1324.7,936.67,72.8,48
71,22.2,12,0.01,0.04,34,65535,255,0.00116,0.00026,99,28,61,1320.3,920.67,72.867,48
71,22.2,13,0.01,0.03,34,65535,255,0.00116,0.00036,92,28,62,1309.7,1016.7,73.2,48
70,22.1,13,0.01,0.04,33,65535,255,0.00112,0.00024,89,28,63,1306.7,906,72.567,45.667
71,22.1,13,0.01,0.03,35,65535,255,0.00112,0.00024,90,28,64,1301.7,901,73.967,41
71,22,13,0.01,0.02,35,65535,255,0.0011,0.0002,92,28,65,1294.3,1018.3,73.9,41
71,22,13,0.01,0.04,35,65535,255,0.0011,0.00018,93,28,66,1285.7,985.33,74.1,41
72,21.9,13,0.01,0.03,36,65535,255,0.00106,0.00014,94,28,67,1279.3,1160.3,77.233,36
73,21.9,13,0.01,0.03,35,65535,255,0.00106,0.00022,94,28,68,1282.3,1027.3,80.167,36
73,21.8,13,0.01,0.03,34,65535,255,0.00106,0.00018,95,28,69,1281.3,1104.7,81.733,36
73,21.8,14,0.01,0.03,33,65535,255,0.00106,0.00014,96,28,70,1277.3,994.67,78.267,36
74,22,14,0.01,0.02,32,65535,255,0.00114,0.00012,96,28,71,1296.7,957.67,75.333,36
75,22,13,0.01,0.03,31,65535,255,0.00114,0.00012,97,28,72,1287.7,889,75.5,36
76,21.9,13,0.01,0.02,30,65535,255,0.00114,0.00014,97,28,73,1283.7,932.67,74.233,36
77,21.9,14,0.01,0.03,31,65535,255,0.00114,0.00022,98,28,74,1272.7,1109.3,73.867,36
77,21.8,14,0.01,0.03,30,65535,255,0.00126,0.00026,96,28,75,1257.7,854.33,73.8,36
77,21.8,14,0.01,0.02,28,65535,255,0.00126,0.0002,97,28,76,1302,851,71.6,36
75,22,14,0.01,0.1,27,65535,255,0.00128,0.00016,97,28,77,1298.7,1050,71.267,36
75,22,13,0.01,0.04,27,65535,255,0.00128,0.00014,98,28,78,1258,967,70.367,36
75,22.2,14,0.01,0.02,27,65535,255,0.00116,0.00014,98,28,79,1232.7,1158.7,70.333,36
76,22.2,14,0.01,0.02,28,65535,255,0.00116,0.0002,98,28,80,1225.3,978,74.067,43.333
75,22.4,14,0.01,0.02,27,65535,255,0.00124,0.00016,98,28,81,1267,791.67,73.033,47
75,22.4,13,0.01,0.03,27,65535,255,0.00124,0.00018,99,28,82,1324.7,1076.7,72.433,47
74,22.9,14,0.01,0.03,26,65535,255,0.00128,0.00016,99,28,83,1345,1209.3,73.433,47
74,22.9,13,0.01,0.1,25,65535,255,0.00128,0.00014,99,28,84,1281,852.67,71.1,47
73,23,14,0.01,0.02,26,65535,255,0.0011,0.00012,99,29,85,1252,940,73.1,56.333
73,23,13,0.01,0.03,26,65535,255,0.0011,0.0001,99,29,86,1245.7,962.33,72.433,61
72,23.1,14,0.01,0.02,28,65535,255,0.00108,0.00016,99,29,87,1248.3,823,73.4,61
71,23.1,13,0.01,0.02,27,65535,255,0.00108,0.00014,99,29,88,1237.7,1086,74.467,61
72,23.2,13,0.01,0.1,26,65535,255,0.0011,0.0002,99,29,89,1218,1102,73.667,61
71,23.2,13,0.01,0.1,26,65535,255,0.0011,0.00016,100,29,90,1205.7,935.67,73.933,64.667
71,23.2,13,0.01,0.02,26,65535,255,0.00108,0.00014,100,29,91,1205,842.67,74.533,72
72,23.2,13,0.01,0.02,27,65535,255,0.00108,0.00026,100,29,92,1200.3,896.33,74.6,72
72,23.6,14,0.01,0.12,27,65535,255,0.00112,0.00018,100,29,93,1190,1035.3,73.4,72
71,23.6,13,0.01,0.02,26,65535,255,0.00112,0.0002,100,29,94,1191.3,1163.7,73.8,72
71,23.9,14,0.01,0.02,25,65535,255,0.00114,0.00016,100,29,95,1230.3,937,72.4,70
71,23.9,14,0.01,0.03,25,65535,255,0.00114,0.00018,100,29,96,1242.3,1014.3,73.333,65.333
71,23.9,14,0.01,0.03,27,65535,255,0.0011,0.0002,100,29,97,1202.7,1343,73.467,63
70,23.9,14,0.01,0.03,26,65535,255,0.0011,0.00016,100,29,98,1181,768.67,73.533,63
